Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
05/04/2025 10:57:00.23;1001.08;1001.62;641.35;457.57;447.46;488.31;103.09;99.78
05/04/2025 10:57:00.24;1000.64;1001.62;637.38;456.02;444.81;487.42;102.87;99.56
05/04/2025 10:57:00.26;1000.64;1001.62;640.91;456.02;442.38;486.32;102.87;99.56
05/04/2025 10:57:00.27;1001.31;1001.39;637.38;456.91;441.06;484.99;103.09;99.78
05/04/2025 10:57:00.28;1000.64;1001.39;638.26;455.80;437.31;484.99;102.87;99.56
05/04/2025 10:57:00.29;1000.86;1001.62;640.25;456.91;436.87;482.79;102.87;99.56
05/04/2025 10:57:00.30;1000.64;1001.62;637.38;455.80;434.00;483.01;102.87;99.78
05/04/2025 10:57:00.31;1000.86;1001.62;641.13;456.91;432.67;481.46;102.87;99.78
05/04/2025 10:57:00.32;1001.08;1001.39;637.16;455.80;430.68;480.14;102.65;99.56
05/04/2025 10:57:00.33;1000.64;1001.62;640.69;455.80;428.26;480.14;102.87;99.78
05/04/2025 10:57:00.34;1001.31;1001.62;638.04;457.57;428.26;478.37;102.87;99.78
05/04/2025 10:57:00.35;1000.42;1001.39;637.38;456.69;425.39;478.15;102.65;99.56
05/04/2025 10:57:00.36;1000.86;1001.39;640.91;458.23;425.17;476.38;102.87;99.56
05/04/2025 10:57:00.36;1001.08;1001.62;637.60;456.91;423.18;476.38;102.87;99.78
05/04/2025 10:57:00.37;1000.64;1001.39;641.13;457.13;422.30;475.06;102.65;99.56
05/04/2025 10:57:00.38;1001.08;1001.62;637.16;457.79;420.97;473.73;102.65;99.56
05/04/2025 10:57:00.39;1000.64;1001.39;639.14;457.13;419.65;474.61;102.87;99.78
05/04/2025 10:57:00.40;1001.08;1001.62;639.58;458.45;420.31;472.85;102.65;99.78
05/04/2025 10:57:00.41;1000.64;1001.39;637.38;457.13;418.54;473.07;102.43;99.56
05/04/2025 10:57:00.43;1000.64;1001.62;641.35;458.23;418.98;471.96;102.87;99.56
05/04/2025 10:57:00.43;1001.31;1001.62;637.38;457.13;418.10;471.52;102.65;99.78
05/04/2025 10:57:00.44;1000.42;1001.62;641.13;455.80;417.66;471.30;102.43;99.56
05/04/2025 10:57:00.45;1001.08;1001.62;637.38;457.35;417.88;470.20;102.65;99.78
05/04/2025 10:57:00.46;1000.64;1001.39;637.82;456.02;417.22;471.08;102.87;99.78
05/04/2025 10:57:00.47;1000.64;1001.62;640.91;457.13;418.32;469.31;102.65;99.56
05/04/2025 10:57:00.49;1001.08;1001.39;637.16;455.80;417.44;469.97;102.43;99.56
05/04/2025 10:57:00.49;1000.64;1001.39;641.13;456.25;418.76;468.87;102.65;99.78
05/04/2025 10:57:00.50;1001.08;1001.62;637.38;456.69;417.88;468.21;102.65;99.78
05/04/2025 10:57:00.51;1000.42;1001.39;639.36;455.80;418.32;468.87;102.43;99.56
05/04/2025 10:57:00.52;1000.86;1001.62;638.92;457.13;419.65;467.77;102.65;99.78
05/04/2025 10:57:00.53;1001.08;1001.39;637.60;456.02;419.21;468.87;102.65;99.78
05/04/2025 10:57:00.55;1000.64;1001.39;640.91;458.01;421.19;467.32;102.43;99.56
05/04/2025 10:57:00.55;1001.08;1001.62;637.16;456.91;420.31;468.21;102.65;99.78
05/04/2025 10:57:00.56;1000.86;1001.62;641.13;457.13;422.08;467.77;102.87;99.78
05/04/2025 10:57:00.58;1001.08;1001.62;637.38;458.23;422.30;466.88;102.65;99.56
05/04/2025 10:57:00.58;1000.86;1001.39;637.82;456.91;422.74;468.21;102.43;99.56
05/04/2025 10:57:00.59;1000.86;1001.62;640.91;458.67;424.72;466.88;102.65;99.78
05/04/2025 10:57:00.60;1001.08;1001.62;637.38;457.13;424.06;467.99;102.65;99.78
05/04/2025 10:57:00.61;1000.42;1001.39;640.91;457.57;426.93;466.66;102.43;99.56
05/04/2025 10:57:00.62;1001.31;1001.62;637.38;458.01;426.05;467.32;102.65;99.78
05/04/2025 10:57:00.63;1000.64;1001.39;640.25;457.13;427.81;468.21;102.65;99.78
05/04/2025 10:57:00.65;1000.64;1001.62;638.26;457.79;429.36;467.10;102.43;99.56
05/04/2025 10:57:00.66;1001.31;1001.62;637.38;456.02;429.58;468.65;102.65;99.78
