Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
06/04/2025 12:23:16.07;1001.08;1001.62;642.68;458.45;479.03;499.57;102.87;99.56
06/04/2025 12:23:16.08;1000.64;1001.62;638.92;459.56;479.03;499.35;102.65;99.56
06/04/2025 12:23:16.10;1001.31;1001.62;642.68;458.67;477.04;505.09;102.87;99.56
06/04/2025 12:23:16.10;1000.86;1001.62;639.14;460.00;475.94;502.22;102.87;99.56
06/04/2025 12:23:16.12;1000.86;1001.62;640.47;458.90;474.61;508.41;103.09;99.56
06/04/2025 12:23:16.13;1001.31;1001.39;641.57;458.23;471.74;504.87;102.87;99.56
06/04/2025 12:23:16.14;1001.08;1001.84;639.14;459.12;471.30;506.42;103.09;99.78
06/04/2025 12:23:16.15;1001.31;1001.39;642.68;459.12;468.21;510.18;103.09;99.78
06/04/2025 12:23:16.16;1000.86;1001.62;638.92;460.22;466.45;507.08;103.32;99.78
06/04/2025 12:23:16.17;1001.08;1001.62;642.46;459.12;464.24;511.50;103.32;100.00
06/04/2025 12:23:16.17;1001.08;1001.39;639.14;460.22;460.49;507.75;103.32;99.78
06/04/2025 12:23:16.18;1000.86;1001.62;639.14;459.12;459.16;509.51;103.32;100.00
06/04/2025 12:23:16.19;1001.31;1001.62;642.68;459.12;454.53;508.63;103.32;100.00
06/04/2025 12:23:16.20;1000.86;1001.62;639.14;460.44;452.98;505.76;103.32;100.00
06/04/2025 12:23:16.21;1001.08;1001.62;642.46;458.90;449.23;508.63;103.32;100.00
06/04/2025 12:23:16.22;1001.08;1001.62;638.70;460.22;445.70;503.77;103.09;99.78
06/04/2025 12:23:16.24;1001.08;1001.62;640.47;458.90;443.93;505.32;103.09;99.78
06/04/2025 12:23:16.24;1001.31;1001.62;640.47;458.45;438.85;501.12;102.87;99.78
06/04/2025 12:23:16.25;1000.86;1001.62;638.26;458.67;437.75;498.25;102.87;99.56
06/04/2025 12:23:16.26;1001.31;1001.62;642.24;458.45;433.33;500.24;102.87;99.56
06/04/2025 12:23:16.27;1001.08;1001.39;638.26;459.78;430.91;494.27;102.87;99.56
06/04/2025 12:23:16.28;1000.86;1001.62;642.24;458.67;428.26;495.82;102.87;99.56
06/04/2025 12:23:16.29;1001.08;1001.39;638.26;459.78;424.06;490.74;102.87;99.56
06/04/2025 12:23:16.31;1000.64;1001.62;639.14;458.67;422.96;490.08;102.87;99.56
06/04/2025 12:23:16.31;1001.08;1001.39;642.01;458.67;418.32;487.20;102.65;99.56
