Data;Sensore_1[mm];Sensore_2[mm];Sensore_3[mm];Sensore_4[mm];Sensore_5[mm];Sensore_6[mm];Sensore_7[mm];Sensore_8[mm]
05/04/2025 17:32:48.66;1001.31;1001.62;644.00;459.56;492.72;440.82;102.43;99.78
05/04/2025 17:32:48.67;1000.64;1001.62;640.47;458.01;491.39;439.27;102.21;99.56
05/04/2025 17:32:48.68;1001.31;1001.62;644.22;458.45;489.62;441.92;102.43;99.78
05/04/2025 17:32:48.69;1000.64;1001.62;640.69;458.67;489.62;437.28;102.21;99.78
05/04/2025 17:32:48.70;1000.86;1001.62;640.91;457.79;487.20;440.60;102.43;99.56
05/04/2025 17:32:48.71;1001.31;1001.84;644.22;460.00;486.53;436.62;102.43;99.78
05/04/2025 17:32:48.72;1000.86;1001.39;640.47;458.90;484.99;438.83;102.43;99.56
05/04/2025 17:32:48.73;1001.31;1001.62;644.44;460.22;483.00;436.84;102.43;99.56
05/04/2025 17:32:48.74;1000.86;1001.62;640.69;459.12;482.34;435.74;102.43;99.78
05/04/2025 17:32:48.75;1000.86;1001.62;643.12;458.90;479.47;439.27;102.21;99.56
05/04/2025 17:32:48.76;1001.31;1001.62;642.01;460.44;479.69;435.52;102.43;99.78
05/04/2025 17:32:48.77;1000.86;1001.62;640.47;458.90;477.92;440.16;102.43;99.78
05/04/2025 17:32:48.79;1001.31;1001.62;644.00;460.22;476.38;435.96;102.43;99.56
05/04/2025 17:32:48.79;1000.86;1001.62;640.47;458.90;475.28;437.51;102.43;99.78
05/04/2025 17:32:48.80;1001.08;1001.62;644.22;459.56;472.41;440.16;102.43;99.78
05/04/2025 17:32:48.81;1001.08;1001.62;640.47;459.34;471.96;437.51;102.21;99.56
05/04/2025 17:32:48.82;1000.86;1001.62;641.13;457.79;469.09;442.36;102.43;99.78
05/04/2025 17:32:48.83;1001.31;1001.62;643.78;459.12;467.55;439.05;102.43;99.78
05/04/2025 17:32:48.84;1000.86;1001.62;640.47;457.79;465.78;443.91;102.21;99.56
05/04/2025 17:32:48.85;1001.31;1001.62;644.44;459.34;461.59;441.48;102.43;99.78
05/04/2025 17:32:48.86;1000.86;1001.62;640.47;458.01;460.71;442.36;102.43;99.78
05/04/2025 17:32:48.87;1000.86;1001.62;643.78;457.79;457.17;446.78;102.43;99.56
05/04/2025 17:32:48.88;1001.31;1001.62;641.79;459.34;456.29;444.13;102.43;99.78
05/04/2025 17:32:48.89;1000.86;1001.62;640.69;457.79;453.64;450.10;102.43;99.56
05/04/2025 17:32:48.90;1001.08;1001.62;644.22;459.12;451.21;446.56;102.43;99.56
05/04/2025 17:32:48.91;1000.86;1001.62;640.69;457.57;449.89;450.76;102.65;99.78
05/04/2025 17:32:48.92;1000.86;1001.62;644.44;459.56;447.02;451.86;102.43;99.56
05/04/2025 17:32:48.93;1001.31;1001.62;640.69;459.56;446.58;451.64;102.65;99.78
05/04/2025 17:32:48.94;1000.86;1001.62;641.79;459.12;443.71;457.38;102.65;99.78
05/04/2025 17:32:48.95;1001.31;1001.62;643.34;460.22;442.16;454.73;102.65;99.56
05/04/2025 17:32:48.96;1000.86;1001.62;640.69;458.90;440.40;461.80;102.65;99.78
05/04/2025 17:32:48.97;1001.08;1001.62;644.44;460.66;438.19;458.27;102.65;99.78
05/04/2025 17:32:48.98;1001.08;1001.62;640.69;459.12;437.75;461.80;102.65;99.56
05/04/2025 17:32:49.00;1000.86;1001.39;644.00;459.34;435.10;466.66;102.65;99.78
05/04/2025 17:32:49.00;1001.31;1001.62;641.13;460.44;434.66;465.12;102.65;99.78
05/04/2025 17:32:49.01;1000.86;1001.39;640.69;459.12;432.67;471.96;102.65;99.56
05/04/2025 17:32:49.02;1001.08;1001.62;644.44;459.78;432.01;469.09;102.65;99.78
05/04/2025 17:32:49.03;1000.86;1001.62;640.69;458.23;430.68;475.06;102.65;99.78
05/04/2025 17:32:49.04;1000.86;1001.39;644.22;458.90;429.14;474.61;102.65;99.56
05/04/2025 17:32:49.05;1001.31;1001.62;640.91;458.67;429.80;476.16;102.65;99.56
05/04/2025 17:32:49.06;1000.86;1001.62;642.68;457.79;428.26;481.90;102.87;99.56
05/04/2025 17:32:49.07;1001.31;1001.62;642.68;459.12;428.70;479.47;102.65;99.78
05/04/2025 17:32:49.09;1000.86;1001.62;640.69;458.01;427.59;486.54;103.09;99.78
05/04/2025 17:32:49.09;1000.86;1001.62;644.44;459.12;428.04;482.79;102.87;99.56
05/04/2025 17:32:49.10;1001.31;1001.62;640.69;458.01;428.26;486.10;102.87;99.78
05/04/2025 17:32:49.11;1000.86;1001.39;644.22;457.79;427.81;490.08;103.09;99.78
05/04/2025 17:32:49.12;1001.31;1001.62;640.69;459.56;429.36;488.31;102.87;99.56
05/04/2025 17:32:49.13;1000.86;1001.62;641.13;458.90;428.48;494.05;102.87;99.56
05/04/2025 17:32:49.15;1001.08;1001.62;644.22;460.22;430.46;490.74;103.09;99.78
05/04/2025 17:32:49.16;1001.08;1001.62;640.69;459.12;429.36;495.82;102.87;99.78
05/04/2025 17:32:49.16;1000.86;1001.62;644.44;460.00;430.68;494.05;102.87;99.78
05/04/2025 17:32:49.17;1001.31;1001.62;640.69;459.56;432.67;494.93;103.09;99.78
05/04/2025 17:32:49.18;1000.86;1001.62;643.12;459.12;432.45;499.57;102.87;99.56
05/04/2025 17:32:49.19;1001.08;1001.39;642.24;460.44;435.10;496.48;103.09;99.78
05/04/2025 17:32:49.20;1000.86;1001.62;640.91;459.12;434.44;502.00;102.87;99.78
05/04/2025 17:32:49.21;1000.64;1001.39;644.44;460.44;437.09;497.81;102.87;99.78
05/04/2025 17:32:49.22;1001.31;1001.62;640.91;459.12;437.53;500.24;103.09;100.00
05/04/2025 17:32:49.23;1000.86;1001.62;644.44;458.45;438.85;501.78;103.09;99.78
05/04/2025 17:32:49.25;1001.31;1001.62;640.69;459.12;441.28;499.57;102.87;99.56
05/04/2025 17:32:49.26;1000.86;1001.62;641.57;458.01;441.28;503.33;103.09;99.56
05/04/2025 17:32:49.27;1000.86;1001.62;643.78;459.34;445.03;499.57;102.87;99.78
05/04/2025 17:32:49.27;1001.31;1001.84;640.69;458.01;444.15;502.44;102.87;99.56
05/04/2025 17:32:49.29;1000.86;1001.62;644.44;459.12;447.02;499.13;102.87;99.78
05/04/2025 17:32:49.29;1001.53;1001.62;640.47;458.45;449.23;498.03;102.87;99.78
05/04/2025 17:32:49.31;1000.64;1001.62;643.56;458.01;449.89;501.12;102.87;99.56
05/04/2025 17:32:49.32;1001.08;1001.62;641.57;459.34;453.64;496.26;102.87;99.78
05/04/2025 17:32:49.33;1001.08;1001.62;640.69;457.79;453.20;498.69;102.87;99.78
05/04/2025 17:32:49.34;1000.86;1001.62;644.22;460.22;457.62;494.49;102.87;99.78
05/04/2025 17:32:49.35;1001.53;1001.62;640.91;459.12;457.84;494.93;102.87;99.78
05/04/2025 17:32:49.36;1000.86;1001.39;644.22;459.34;460.26;494.49;102.87;99.78
05/04/2025 17:32:49.37;1001.08;1001.62;640.69;460.44;463.58;490.30;102.87;99.56
05/04/2025 17:32:49.38;1000.86;1001.62;641.79;458.90;464.02;492.95;102.87;99.78
05/04/2025 17:32:49.39;1000.86;1001.62;643.56;460.44;468.43;487.87;102.87;99.56
05/04/2025 17:32:49.40;1001.31;1001.62;640.69;458.90;467.55;489.19;102.87;99.78
05/04/2025 17:32:49.41;1000.86;1001.62;644.22;460.44;471.08;485.22;103.09;99.78
05/04/2025 17:32:49.42;1001.31;1001.62;640.47;459.34;473.29;482.57;102.87;99.56
05/04/2025 17:32:49.43;1000.86;1001.62;644.22;459.34;474.39;484.55;103.09;99.78
05/04/2025 17:32:49.44;1000.86;1001.62;641.13;459.78;477.92;479.25;102.87;99.78
05/04/2025 17:32:49.45;1001.31;1001.62;640.69;457.79;477.70;480.36;102.65;99.78
05/04/2025 17:32:49.47;1000.86;1001.62;644.44;459.34;481.90;475.72;102.65;99.78
05/04/2025 17:32:49.48;1001.31;1001.62;640.69;457.79;482.12;475.28;102.65;99.78
05/04/2025 17:32:49.49;1000.86;1001.62;644.22;458.23;483.89;473.07;102.65;99.78
05/04/2025 17:32:49.50;1000.86;1001.62;640.69;458.90;486.75;469.09;102.65;99.78
05/04/2025 17:32:49.51;1000.86;1001.62;642.46;458.01;486.98;471.08;102.65;99.78
05/04/2025 17:32:49.52;1000.86;1001.39;642.68;459.12;490.29;465.78;102.65;99.78
05/04/2025 17:32:49.52;1001.31;1001.62;640.69;457.79;489.40;466.88;102.65;99.78
05/04/2025 17:32:49.53;1000.86;1001.62;644.22;460.00;491.83;462.91;102.87;99.78
05/04/2025 17:32:49.55;1001.08;1001.62;640.47;458.90;493.38;460.48;102.87;99.56
05/04/2025 17:32:49.56;1001.08;1001.62;644.66;458.90;493.38;462.02;102.87;99.78
05/04/2025 17:32:49.57;1000.86;1001.62;640.69;459.56;495.58;456.28;102.65;99.56
